user_id,recommendation_type,recommended_product,product_type,target_issue,confidence_score,accepted_by_user,compliance_rate,followup_result_score,days_until_followup
HSP20214814,Lifestyle,Tempora Tool,Serum,Wrinkles,0.81,True,0.53,1,57
HSP20217227,Diet,Molestias Cleanser,Supplement,Hair Thinning,0.87,False,0.91,4,84
HSP20238428,Skincare,Minima Tool,Supplement,Dryness,0.71,True,0.57,4,71
HSP20233664,Haircare,Explicabo Serum,Serum,Pigmentation,0.75,True,0.79,2,82
HSP20236820,Lifestyle,Ad Oil,Oil,Wrinkles,0.73,False,0.77,4,18
HSP20225374,Haircare,Magnam Oil,Serum,Wrinkles,0.78,False,0.44,3,59
HSP20213803,Diet,Atque Cleanser,Tool,Dryness,0.97,True,0.31,5,56
HSP20255010,Skincare,Laborum Tool,Supplement,Pigmentation,0.83,True,0.32,1,79
HSP20228573,Diet,Excepturi Tool,Supplement,Hair Thinning,0.84,False,0.65,1,39
HSP20245422,Diet,Unde Oil,Oil,Wrinkles,0.79,False,0.39,0,37
HSP20254598,Lifestyle,Sunt Supplement,Supplement,Acne,0.81,True,0.77,5,81
HSP20231916,Skincare,Corporis Supplement,Tool,Pigmentation,0.93,False,0.67,5,63
HSP20221525,Haircare,Repellendus Cleanser,Cleanser,Hair Thinning,0.87,False,0.44,4,31
HSP20237572,Lifestyle,Iusto Serum,Serum,Hair Thinning,0.78,False,0.41,0,26
HSP20232084,Lifestyle,Deleniti Serum,Oil,Wrinkles,0.77,True,0.46,4,48
HSP20226155,Haircare,Aperiam Oil,Serum,Hair Thinning,0.85,False,0.69,4,12
HSP20229179,Lifestyle,Libero Cleanser,Serum,Dryness,0.97,True,0.44,1,88
HSP20248517,Haircare,Quisquam Tool,Tool,Acne,0.89,True,0.87,1,8
HSP20225339,Lifestyle,Labore Oil,Oil,Wrinkles,0.86,True,0.48,3,27
HSP20225040,Skincare,Temporibus Cleanser,Oil,Dryness,0.78,False,0.33,2,71
HSP20259830,Haircare,Doloribus Oil,Supplement,Wrinkles,0.79,False,0.82,0,65
HSP20238019,Skincare,Vitae Tool,Serum,Pigmentation,0.71,False,0.45,5,48
HSP20257543,Lifestyle,Officiis Supplement,Cleanser,Hair Thinning,0.9,False,0.85,3,68
HSP20234593,Skincare,Voluptatem Supplement,Supplement,Wrinkles,0.83,False,0.79,1,83
HSP20229348,Haircare,Perferendis Serum,Oil,Pigmentation,0.81,True,0.41,4,50
HSP20242489,Diet,Suscipit Oil,Tool,Hair Thinning,0.82,False,0.71,5,37
HSP20212796,Skincare,Ducimus Supplement,Tool,Hair Thinning,0.97,False,0.35,4,22
HSP20223621,Skincare,Deleniti Cleanser,Supplement,Dryness,0.85,True,0.53,1,82
HSP20242040,Haircare,At Oil,Oil,Dryness,0.85,False,0.32,2,70
HSP20247252,Skincare,Officia Serum,Tool,Pigmentation,0.79,True,0.87,2,8
HSP20258668,Skincare,Amet Supplement,Oil,Acne,0.86,False,0.62,4,66
HSP20255119,Skincare,Impedit Serum,Serum,Acne,0.78,True,0.51,0,64
HSP20251188,Haircare,Eligendi Tool,Tool,Pigmentation,0.81,False,0.88,3,63
HSP20219797,Haircare,Aperiam Supplement,Oil,Pigmentation,0.98,True,0.61,3,80
HSP20236573,Haircare,Eligendi Tool,Serum,Hair Thinning,0.81,False,0.89,0,33
HSP20215808,Skincare,Animi Tool,Tool,Pigmentation,0.82,False,0.69,3,15
HSP20243591,Haircare,Ipsam Cleanser,Serum,Dryness,0.77,True,0.82,2,44
HSP20241053,Haircare,Ipsa Tool,Supplement,Dryness,0.85,False,0.87,5,15
HSP20239201,Skincare,Quam Serum,Tool,Acne,0.93,True,0.45,2,83
HSP20229317,Diet,Nam Serum,Tool,Pigmentation,0.91,True,0.86,5,80
HSP20215889,Diet,Quisquam Serum,Cleanser,Pigmentation,0.8,False,0.42,4,86
HSP20254258,Skincare,Pariatur Cleanser,Cleanser,Dryness,0.7,False,0.62,5,60
HSP20227126,Lifestyle,Explicabo Oil,Oil,Acne,0.8,False,0.69,1,74
HSP20229837,Diet,Amet Serum,Cleanser,Pigmentation,0.75,True,0.9,5,34
HSP20251009,Lifestyle,Tenetur Tool,Cleanser,Hair Thinning,0.77,False,0.46,2,44
HSP20256310,Haircare,Eaque Serum,Tool,Acne,0.84,True,0.65,3,37
HSP20241319,Haircare,Illo Tool,Cleanser,Hair Thinning,0.76,False,0.49,5,8
HSP20216947,Haircare,Magnam Oil,Oil,Dryness,0.75,True,0.8,0,67
HSP20234923,Skincare,Architecto Supplement,Supplement,Hair Thinning,0.92,True,0.62,4,48
HSP20214946,Skincare,Ullam Cleanser,Cleanser,Acne,0.91,True,0.82,3,72
HSP20252290,Lifestyle,Iure Serum,Supplement,Wrinkles,0.74,False,0.98,3,64
HSP20218962,Lifestyle,Fugit Serum,Tool,Dryness,0.94,True,0.44,0,36
HSP20219727,Skincare,Cupiditate Cleanser,Tool,Wrinkles,0.75,False,0.39,3,41
HSP20223103,Skincare,Maxime Supplement,Tool,Hair Thinning,0.74,True,0.82,1,8
HSP20243705,Haircare,Nostrum Oil,Serum,Wrinkles,0.84,False,0.85,3,74
HSP20239645,Lifestyle,Natus Serum,Tool,Dryness,0.92,False,0.72,4,67
HSP20257932,Haircare,Nulla Oil,Supplement,Pigmentation,0.9,False,0.31,0,31
HSP20229835,Lifestyle,Molestiae Supplement,Tool,Wrinkles,0.79,False,0.75,2,53
HSP20226107,Skincare,Labore Supplement,Supplement,Dryness,0.7,False,0.32,2,29
HSP20247118,Diet,Ea Oil,Supplement,Pigmentation,0.95,True,0.78,2,24
HSP20249479,Lifestyle,Praesentium Tool,Tool,Acne,0.78,True,0.78,4,53
HSP20242982,Skincare,Voluptate Serum,Serum,Pigmentation,0.93,False,0.51,3,38
HSP20224681,Haircare,Praesentium Tool,Supplement,Acne,0.71,False,0.95,3,61
HSP20216539,Diet,Maxime Oil,Oil,Acne,0.8,False,0.37,0,59
HSP20214770,Skincare,Quas Tool,Tool,Dryness,0.84,True,0.84,0,81
HSP20254608,Haircare,Fugiat Supplement,Oil,Pigmentation,0.76,True,0.49,1,69
HSP20212163,Diet,Blanditiis Tool,Oil,Acne,0.77,True,0.99,5,45
HSP20214750,Diet,Nisi Oil,Cleanser,Dryness,0.76,True,0.7,4,80
HSP20211514,Haircare,Beatae Cleanser,Supplement,Hair Thinning,0.97,False,0.4,1,42
HSP20232160,Diet,Non Oil,Serum,Pigmentation,0.98,True,0.96,2,50
HSP20254899,Lifestyle,Sed Tool,Cleanser,Wrinkles,0.96,True,0.45,4,76
HSP20238953,Skincare,Ducimus Cleanser,Cleanser,Pigmentation,0.88,True,0.83,3,18
HSP20229834,Lifestyle,Quisquam Serum,Tool,Wrinkles,0.99,True,0.43,5,72
HSP20228744,Lifestyle,Impedit Tool,Oil,Pigmentation,0.92,False,0.54,3,30
HSP20228749,Haircare,Iste Oil,Serum,Dryness,0.75,False,0.59,5,42
HSP20244119,Lifestyle,Corporis Tool,Oil,Dryness,0.93,False,0.63,4,19
HSP20212588,Haircare,Beatae Serum,Tool,Dryness,0.86,True,1.0,5,80
HSP20246804,Diet,Itaque Serum,Cleanser,Dryness,0.82,True,0.73,4,7
HSP20247735,Lifestyle,Ut Cleanser,Supplement,Dryness,0.81,False,0.57,5,19
HSP20241887,Diet,Impedit Supplement,Supplement,Pigmentation,0.9,False,0.96,0,76
HSP20211993,Haircare,Inventore Supplement,Tool,Hair Thinning,0.86,True,0.84,0,40
HSP20246559,Skincare,Occaecati Serum,Cleanser,Pigmentation,0.73,False,0.45,1,10
HSP20215073,Haircare,Sed Cleanser,Tool,Dryness,0.85,False,0.31,3,31
HSP20224116,Diet,Nobis Supplement,Tool,Acne,0.77,False,0.66,3,81
HSP20258350,Lifestyle,Doloremque Supplement,Oil,Acne,0.7,False,0.49,4,81
HSP20227912,Lifestyle,Voluptas Cleanser,Serum,Dryness,0.85,True,0.7,5,53
HSP20225563,Skincare,Numquam Tool,Oil,Dryness,0.97,False,0.75,4,47
HSP20245092,Lifestyle,Laudantium Supplement,Cleanser,Pigmentation,0.82,False,0.95,3,13
HSP20218260,Haircare,Occaecati Cleanser,Serum,Hair Thinning,0.93,True,0.44,2,76
HSP20252604,Lifestyle,Animi Cleanser,Tool,Hair Thinning,0.74,False,0.77,3,66
HSP20219856,Haircare,Libero Oil,Cleanser,Acne,0.86,False,0.85,1,38
HSP20212528,Skincare,Sint Tool,Supplement,Wrinkles,0.91,True,0.74,0,67
HSP20223724,Haircare,Nostrum Oil,Cleanser,Hair Thinning,0.99,True,0.67,1,33
HSP20248956,Lifestyle,Harum Supplement,Tool,Acne,0.73,False,0.88,5,70
HSP20244502,Diet,Tempore Tool,Serum,Acne,0.77,False,0.84,1,39
HSP20241960,Haircare,Aspernatur Serum,Cleanser,Acne,0.98,True,0.79,5,19
HSP20227209,Lifestyle,Autem Oil,Cleanser,Wrinkles,0.87,False,0.62,1,25
HSP20217396,Diet,Velit Supplement,Supplement,Pigmentation,0.81,True,0.55,2,7
HSP20238454,Diet,Tempore Oil,Tool,Wrinkles,0.88,True,0.83,1,80
HSP20237930,Diet,Necessitatibus Serum,Serum,Acne,0.9,False,0.44,4,61
HSP20258973,Skincare,Maiores Serum,Oil,Wrinkles,0.84,True,0.85,5,14
HSP20224111,Haircare,Quam Oil,Serum,Pigmentation,0.84,False,0.68,4,9
HSP20234566,Skincare,Veritatis Oil,Supplement,Hair Thinning,0.92,False,0.76,1,72
HSP20219883,Skincare,Dolore Oil,Cleanser,Pigmentation,0.82,False,0.93,0,10
HSP20216138,Lifestyle,Aliquam Oil,Oil,Hair Thinning,0.75,False,1.0,2,67
HSP20211821,Haircare,Dicta Cleanser,Serum,Wrinkles,0.73,False,0.31,0,29
HSP20258811,Diet,Sequi Cleanser,Cleanser,Hair Thinning,0.96,True,0.47,2,41
HSP20259701,Diet,Veritatis Serum,Oil,Acne,0.91,True,0.87,5,8
HSP20221931,Lifestyle,Nulla Cleanser,Tool,Hair Thinning,0.95,False,0.99,0,28
HSP20252312,Haircare,Aliquid Serum,Supplement,Acne,0.79,False,0.8,3,63
HSP20222122,Skincare,Debitis Supplement,Tool,Pigmentation,0.73,True,0.58,1,32
HSP20252113,Skincare,Atque Oil,Serum,Pigmentation,0.95,False,0.56,4,47
HSP20227615,Diet,Ex Supplement,Serum,Dryness,0.87,True,0.65,2,81
HSP20215033,Haircare,Tenetur Cleanser,Serum,Dryness,0.89,True,0.98,2,90
HSP20251651,Haircare,Maiores Serum,Tool,Hair Thinning,0.72,False,0.7,1,21
HSP20252343,Lifestyle,Magni Oil,Tool,Acne,0.95,True,0.64,1,60
HSP20249565,Lifestyle,Molestiae Cleanser,Supplement,Acne,0.72,False,0.69,0,68
HSP20235272,Haircare,Reiciendis Cleanser,Supplement,Hair Thinning,0.8,True,0.41,1,83
HSP20226147,Diet,Aliquid Cleanser,Serum,Dryness,0.95,True,0.67,2,12
HSP20225351,Haircare,Sed Oil,Supplement,Hair Thinning,0.97,False,0.86,1,37
HSP20243144,Haircare,Dolor Tool,Supplement,Pigmentation,0.9,True,0.3,5,36
HSP20238491,Lifestyle,Veritatis Oil,Supplement,Pigmentation,0.82,True,0.44,4,81
HSP20232188,Diet,Odio Cleanser,Tool,Pigmentation,0.96,True,0.42,1,35
HSP20218508,Skincare,Maxime Tool,Oil,Pigmentation,0.78,True,0.66,2,78
HSP20252638,Lifestyle,Minima Cleanser,Cleanser,Hair Thinning,0.78,True,0.45,4,47
HSP20219808,Skincare,Numquam Supplement,Serum,Pigmentation,0.87,False,0.36,5,20
HSP20229288,Diet,Autem Tool,Serum,Pigmentation,0.72,True,0.56,4,23
HSP20233170,Haircare,Rem Oil,Oil,Dryness,0.91,True,0.69,0,85
HSP20232127,Skincare,Deserunt Oil,Supplement,Pigmentation,0.82,False,0.7,3,80
HSP20227054,Haircare,Quia Tool,Serum,Acne,0.81,False,0.96,0,69
HSP20233584,Diet,Maiores Serum,Serum,Dryness,0.72,False,0.77,2,57
HSP20249900,Diet,Nam Tool,Oil,Pigmentation,0.96,False,0.86,1,68
HSP20239666,Diet,Ipsam Supplement,Tool,Wrinkles,0.75,False,0.51,3,7
HSP20215905,Lifestyle,Totam Cleanser,Cleanser,Wrinkles,0.91,False,0.36,5,14
HSP20213200,Diet,Hic Oil,Supplement,Acne,0.94,True,0.8,0,78
HSP20232891,Skincare,Expedita Tool,Serum,Dryness,0.91,False,0.37,4,83
HSP20213546,Haircare,Cum Tool,Cleanser,Pigmentation,0.91,True,0.78,4,81
HSP20235616,Diet,Alias Serum,Supplement,Dryness,0.94,True,0.33,2,21
HSP20254450,Lifestyle,Ea Serum,Cleanser,Wrinkles,0.71,False,0.56,3,63
HSP20234335,Diet,Praesentium Cleanser,Oil,Wrinkles,0.74,False,0.69,4,13
HSP20239280,Haircare,Quas Serum,Oil,Dryness,0.97,False,0.57,3,73
HSP20245114,Skincare,Molestias Oil,Supplement,Dryness,0.95,False,0.3,5,77
HSP20212512,Skincare,Ratione Cleanser,Supplement,Dryness,0.75,False,0.32,3,41
HSP20245533,Haircare,Cumque Tool,Tool,Dryness,0.8,True,0.94,0,33
HSP20211058,Diet,Fuga Cleanser,Tool,Pigmentation,0.73,True,0.72,5,57
HSP20233143,Skincare,Facilis Tool,Tool,Pigmentation,0.83,True,0.96,1,83
HSP20233647,Lifestyle,Voluptatibus Cleanser,Supplement,Acne,0.74,True,0.45,0,39
HSP20248007,Lifestyle,Occaecati Supplement,Oil,Pigmentation,0.71,False,0.6,5,69
HSP20251158,Haircare,Error Oil,Oil,Acne,0.78,False,0.91,4,85
HSP20212232,Skincare,Similique Tool,Oil,Wrinkles,0.88,True,0.73,4,46
HSP20229938,Diet,Illo Oil,Supplement,Hair Thinning,0.85,False,0.36,3,36
HSP20217049,Lifestyle,Voluptate Serum,Serum,Dryness,0.83,False,1.0,0,50
HSP20253426,Lifestyle,Porro Cleanser,Oil,Hair Thinning,0.94,True,0.93,0,73
HSP20243088,Skincare,Eligendi Supplement,Serum,Wrinkles,0.94,False,0.37,3,86
HSP20216050,Diet,Cupiditate Cleanser,Serum,Wrinkles,0.77,True,0.3,0,71
HSP20231653,Lifestyle,Deleniti Oil,Serum,Wrinkles,0.79,True,0.38,3,47
HSP20234441,Lifestyle,Aut Cleanser,Cleanser,Wrinkles,0.84,True,0.77,2,15
HSP20222684,Skincare,Odio Serum,Supplement,Hair Thinning,0.95,False,0.82,3,78
HSP20237658,Lifestyle,Doloribus Oil,Serum,Dryness,0.97,False,0.34,2,68
HSP20253532,Haircare,Numquam Tool,Serum,Hair Thinning,0.7,True,0.76,4,22
HSP20223662,Haircare,Commodi Oil,Tool,Hair Thinning,0.78,False,0.48,5,28
HSP20227755,Diet,Vero Tool,Tool,Acne,0.8,False,0.49,0,88
HSP20213938,Diet,Ipsum Serum,Supplement,Hair Thinning,0.85,False,0.61,2,31
HSP20237745,Lifestyle,Vel Cleanser,Serum,Pigmentation,0.85,True,0.77,3,60
HSP20225371,Haircare,Laborum Serum,Tool,Pigmentation,0.81,False,0.48,4,58
HSP20222771,Lifestyle,Voluptatum Serum,Oil,Acne,0.75,False,0.54,4,39
HSP20241634,Diet,At Tool,Serum,Pigmentation,0.92,False,0.83,0,7
HSP20244644,Skincare,Quo Supplement,Serum,Wrinkles,0.89,False,0.46,3,12
HSP20228541,Haircare,Quis Cleanser,Serum,Acne,0.87,False,0.7,2,12
HSP20236000,Lifestyle,Illum Tool,Oil,Dryness,0.84,False,0.68,4,27
HSP20224652,Haircare,In Tool,Tool,Pigmentation,0.84,False,0.7,1,65
HSP20214164,Haircare,Dolore Supplement,Supplement,Hair Thinning,0.91,False,0.38,4,83
HSP20246378,Haircare,Voluptatum Supplement,Serum,Hair Thinning,0.92,False,0.4,5,31
HSP20232137,Lifestyle,Voluptates Oil,Supplement,Pigmentation,0.72,False,0.98,5,53
HSP20236753,Lifestyle,Tempore Tool,Cleanser,Wrinkles,0.98,True,0.34,0,48
HSP20257548,Haircare,Doloribus Tool,Cleanser,Pigmentation,0.83,True,0.43,3,70
HSP20256425,Lifestyle,Magni Serum,Tool,Pigmentation,0.84,True,0.88,5,58
HSP20212889,Skincare,Quaerat Serum,Oil,Pigmentation,0.98,True,0.74,5,9
HSP20233925,Diet,Et Serum,Cleanser,Pigmentation,0.8,False,0.72,0,12
HSP20255349,Diet,Cupiditate Serum,Cleanser,Acne,0.79,False,0.94,5,57
HSP20212776,Lifestyle,Eligendi Oil,Supplement,Dryness,0.95,False,0.69,0,63
HSP20258119,Skincare,Deserunt Cleanser,Oil,Hair Thinning,0.79,False,0.51,0,63
HSP20236139,Lifestyle,Ex Cleanser,Supplement,Acne,0.71,False,0.87,2,29
HSP20249379,Lifestyle,Possimus Cleanser,Tool,Hair Thinning,0.83,True,0.53,5,44
HSP20217311,Haircare,Alias Tool,Tool,Acne,0.84,False,0.87,5,59
HSP20254114,Lifestyle,Magni Oil,Cleanser,Dryness,0.74,False,0.9,0,25
HSP20231727,Diet,Quod Supplement,Cleanser,Acne,0.96,False,0.96,5,36
HSP20241027,Skincare,Rem Supplement,Tool,Pigmentation,0.82,False,0.45,2,68
HSP20259821,Haircare,Maxime Supplement,Oil,Acne,0.81,False,0.53,3,66
HSP20226967,Haircare,Omnis Serum,Cleanser,Wrinkles,0.75,True,0.73,3,20
HSP20242146,Diet,Quod Supplement,Serum,Dryness,0.84,False,0.91,0,37
HSP20236143,Diet,Delectus Serum,Tool,Wrinkles,0.71,True,0.75,0,24
HSP20215920,Haircare,Similique Serum,Oil,Wrinkles,0.92,False,0.83,3,58
HSP20256067,Diet,Commodi Supplement,Serum,Pigmentation,0.96,True,0.81,5,88
HSP20246344,Haircare,At Supplement,Cleanser,Acne,0.97,False,0.53,4,42
HSP20245844,Haircare,Ipsa Supplement,Cleanser,Dryness,0.85,False,0.31,0,66
HSP20253085,Skincare,Nam Supplement,Tool,Acne,0.7,True,0.47,4,11
HSP20227888,Diet,Perferendis Oil,Cleanser,Dryness,0.73,True,0.48,1,55
HSP20243851,Lifestyle,Qui Tool,Tool,Wrinkles,0.75,False,0.32,2,49
HSP20255930,Diet,Neque Cleanser,Oil,Acne,0.96,False,0.31,0,10
HSP20249977,Lifestyle,Nemo Serum,Supplement,Pigmentation,0.91,False,0.41,0,53
HSP20215978,Haircare,Repellat Tool,Supplement,Acne,0.96,False,0.92,4,70
HSP20234443,Diet,Aut Supplement,Serum,Dryness,0.89,True,0.77,2,82
HSP20246279,Lifestyle,Debitis Cleanser,Supplement,Hair Thinning,0.7,False,0.99,4,26
HSP20248238,Lifestyle,Ipsum Cleanser,Supplement,Wrinkles,0.95,True,0.93,0,56
HSP20244501,Haircare,Temporibus Supplement,Supplement,Acne,0.89,False,0.54,0,68
HSP20258752,Lifestyle,Aut Supplement,Serum,Hair Thinning,0.96,True,0.5,3,73
HSP20222389,Diet,Odio Tool,Supplement,Dryness,0.86,True,0.37,1,65
HSP20239445,Haircare,Omnis Supplement,Supplement,Pigmentation,0.97,True,0.4,5,15
HSP20256491,Lifestyle,Vero Oil,Cleanser,Acne,0.77,True,0.69,2,60
HSP20214848,Skincare,Quas Oil,Supplement,Wrinkles,0.92,True,0.73,2,26
HSP20234680,Lifestyle,Laborum Supplement,Cleanser,Dryness,0.77,True,0.3,1,40
HSP20223414,Lifestyle,Debitis Serum,Tool,Acne,0.92,True,0.99,0,41
HSP20211757,Skincare,Quod Cleanser,Tool,Wrinkles,0.93,True,0.62,4,78
HSP20228784,Diet,Tempore Serum,Tool,Hair Thinning,0.96,False,0.59,1,64
HSP20252193,Diet,Repudiandae Tool,Serum,Dryness,0.85,False,0.63,4,21
HSP20247790,Lifestyle,Ducimus Tool,Cleanser,Acne,0.83,True,0.84,4,9
HSP20254185,Diet,Delectus Tool,Tool,Hair Thinning,0.85,True,0.52,2,90
HSP20249099,Skincare,Non Tool,Serum,Pigmentation,0.77,True,0.33,1,34
HSP20244997,Diet,Provident Serum,Supplement,Acne,0.87,True,0.46,5,13
HSP20221090,Diet,Aspernatur Oil,Cleanser,Pigmentation,0.74,False,0.76,4,82
HSP20217965,Skincare,Cupiditate Cleanser,Serum,Dryness,0.9,True,0.83,0,59
HSP20223881,Lifestyle,Quas Tool,Supplement,Wrinkles,0.85,True,0.93,1,88
HSP20258611,Skincare,Dolor Cleanser,Supplement,Wrinkles,0.97,False,0.87,3,40
HSP20215082,Haircare,Incidunt Tool,Serum,Dryness,0.88,False,0.51,4,74
HSP20218478,Haircare,Doloremque Oil,Cleanser,Acne,0.99,False,0.49,2,86
HSP20228612,Diet,Dolorem Tool,Supplement,Hair Thinning,0.76,True,0.61,1,56
HSP20256198,Skincare,Iste Tool,Cleanser,Acne,0.72,True,0.98,1,17
HSP20249270,Diet,Voluptatum Oil,Supplement,Wrinkles,0.87,False,0.69,3,22
HSP20249976,Lifestyle,Et Oil,Supplement,Wrinkles,0.89,True,0.65,1,9
HSP20243607,Diet,Laborum Tool,Tool,Pigmentation,0.71,True,0.73,2,37
HSP20248373,Lifestyle,Quas Supplement,Serum,Wrinkles,0.91,False,0.59,2,12
HSP20235050,Lifestyle,Id Cleanser,Tool,Pigmentation,0.92,True,0.46,1,23
HSP20239540,Haircare,Beatae Serum,Oil,Dryness,0.76,False,0.41,5,77
HSP20244919,Lifestyle,Explicabo Oil,Supplement,Acne,0.81,True,0.89,3,19
HSP20238206,Haircare,Eius Tool,Supplement,Pigmentation,0.94,False,0.57,2,48
HSP20215681,Lifestyle,Tempora Serum,Tool,Acne,0.87,False,0.8,4,32
HSP20225451,Haircare,Quod Supplement,Serum,Hair Thinning,0.77,True,0.42,2,41
HSP20236238,Diet,Harum Cleanser,Oil,Hair Thinning,0.98,False,0.73,4,76
HSP20252320,Skincare,Debitis Tool,Cleanser,Acne,0.98,False,0.54,4,56
HSP20223471,Diet,Sunt Oil,Tool,Dryness,0.9,True,0.46,2,83
HSP20227275,Lifestyle,Incidunt Cleanser,Oil,Wrinkles,0.78,True,0.66,1,37
HSP20224505,Lifestyle,Sint Tool,Cleanser,Acne,0.79,True,0.42,3,50
HSP20217797,Haircare,Quibusdam Supplement,Serum,Hair Thinning,0.78,True,0.33,4,84
HSP20246421,Diet,Consectetur Supplement,Oil,Hair Thinning,0.9,True,0.64,1,24
HSP20258633,Skincare,Provident Serum,Oil,Wrinkles,0.73,True,0.42,5,10
HSP20242020,Lifestyle,Temporibus Cleanser,Tool,Pigmentation,0.73,False,0.73,0,24
HSP20227883,Lifestyle,Dolores Tool,Supplement,Pigmentation,0.73,False,0.83,1,53
HSP20241320,Haircare,Rerum Supplement,Serum,Pigmentation,0.71,True,0.47,4,16
HSP20257232,Skincare,Repellendus Cleanser,Cleanser,Dryness,0.96,True,0.8,4,62
HSP20241096,Lifestyle,Dolor Oil,Tool,Acne,0.72,False,0.87,3,88
HSP20235892,Lifestyle,Dolores Supplement,Oil,Wrinkles,0.84,True,0.89,0,19
HSP20247865,Skincare,Unde Serum,Supplement,Acne,0.87,True,0.78,4,39
HSP20259947,Haircare,Soluta Oil,Tool,Dryness,0.99,False,0.46,0,17
HSP20254613,Lifestyle,Sed Oil,Oil,Hair Thinning,0.88,False,0.62,5,35
HSP20244595,Haircare,Labore Supplement,Cleanser,Dryness,0.71,False,0.31,1,82
HSP20238140,Haircare,Recusandae Tool,Cleanser,Dryness,0.73,False,0.75,1,53
HSP20241475,Lifestyle,Animi Oil,Oil,Dryness,0.86,False,0.69,3,39
HSP20246507,Diet,Aliquam Oil,Supplement,Acne,0.71,True,0.63,0,73
HSP20243704,Diet,Beatae Cleanser,Serum,Acne,0.97,False,0.58,4,46
HSP20243091,Lifestyle,Aperiam Serum,Cleanser,Wrinkles,0.88,True,0.85,4,36
HSP20259751,Lifestyle,Temporibus Tool,Oil,Hair Thinning,0.93,False,0.66,1,9
HSP20217455,Diet,Repellat Oil,Supplement,Hair Thinning,0.95,True,0.57,2,71
HSP20251444,Diet,Fuga Oil,Oil,Acne,0.96,False,0.47,4,38
HSP20218022,Haircare,Totam Tool,Supplement,Dryness,0.78,True,0.34,5,88
HSP20228564,Skincare,Eos Cleanser,Supplement,Pigmentation,0.93,False,0.59,0,60
HSP20221823,Lifestyle,Rem Tool,Supplement,Wrinkles,0.77,False,0.46,5,64
HSP20237211,Skincare,Nesciunt Tool,Tool,Hair Thinning,0.96,False,0.88,1,60
HSP20234467,Skincare,Sit Cleanser,Tool,Pigmentation,0.86,False,0.73,5,48
HSP20246355,Haircare,Tempore Serum,Serum,Hair Thinning,0.84,False,0.57,5,63
HSP20237211,Haircare,Aliquam Cleanser,Supplement,Acne,0.97,True,0.39,4,42
HSP20237906,Lifestyle,Praesentium Cleanser,Oil,Wrinkles,0.82,False,0.54,1,58
HSP20232341,Haircare,Sunt Tool,Tool,Wrinkles,0.84,False,0.62,2,79
HSP20241317,Lifestyle,Quisquam Oil,Tool,Acne,0.85,False,0.4,4,87
