user_id,diet_type,smoker,alcohol_consumption,stress_level,sleep_hours,water_intake_liters,exercise_frequency,skincare_routine_level,satisfaction_score,perceived_improvement_score
HSP20241053,Keto,True,None,4,9.5,2.7,None,0,3,1
HSP20239201,Mixed,True,None,6,8.0,2.4,3–5x/week,0,2,0
HSP20229317,Vegetarian,False,Rare,8,7.1,3.0,3–5x/week,1,1,1
HSP20215889,Mixed,True,Regular,8,8.0,3.1,1–2x/week,0,4,3
HSP20254258,Vegan,False,None,3,7.5,2.3,None,3,2,0
HSP20227126,Vegan,True,None,9,5.8,2.7,3–5x/week,0,5,5
HSP20229837,Mixed,False,None,5,7.6,2.4,None,3,3,3
HSP20251009,Keto,True,Regular,6,7.8,3.4,Daily,2,2,0
HSP20256310,Keto,False,None,4,5.4,2.0,None,3,1,0
HSP20241319,Mixed,True,None,4,6.3,2.7,3–5x/week,2,2,1
HSP20216947,Vegetarian,True,None,3,5.9,3.3,None,2,2,1
HSP20234923,Vegan,True,None,6,7.0,2.5,1–2x/week,1,1,0
HSP20214946,Vegetarian,False,None,2,4.8,1.7,Daily,3,5,4
HSP20252290,Mixed,False,None,4,6.8,1.2,3–5x/week,2,2,2
HSP20218962,Vegetarian,True,Rare,6,7.7,2.4,3–5x/week,0,5,5
HSP20219727,Vegetarian,False,Rare,9,10.4,3.9,Daily,0,4,3
HSP20223103,Keto,True,Regular,5,6.3,2.4,1–2x/week,3,3,3
HSP20243705,Vegan,True,None,9,7.7,3.5,3–5x/week,3,3,3
HSP20239645,Vegan,False,Rare,5,4.5,1.4,1–2x/week,2,4,2
HSP20257932,Keto,True,None,4,5.8,2.8,None,2,4,3
HSP20229835,Mixed,True,None,5,7.1,3.1,3–5x/week,2,1,0
HSP20226107,Keto,True,None,4,5.1,1.1,1–2x/week,2,1,1
HSP20247118,Mixed,False,Rare,8,7.5,2.0,1–2x/week,2,4,4
HSP20249479,Keto,True,None,6,4.1,2.6,1–2x/week,0,1,1
HSP20242982,Mixed,True,Regular,3,7.5,2.4,3–5x/week,1,5,5
HSP20224681,Vegetarian,False,None,9,6.0,2.4,None,1,4,3
HSP20216539,Vegetarian,False,Regular,7,6.1,1.7,None,2,4,4
HSP20214770,Mixed,True,None,6,5.6,2.8,None,0,2,0
HSP20254608,Vegetarian,True,Rare,3,6.9,2.6,1–2x/week,1,3,3
HSP20212163,Mixed,True,None,9,5.3,2.4,None,0,5,5
HSP20214750,Keto,True,Rare,8,3.9,2.6,None,1,4,3
HSP20211514,Vegetarian,False,None,8,8.2,1.6,None,3,1,0
HSP20232160,Keto,True,None,5,5.8,2.7,3–5x/week,0,1,0
HSP20254899,Vegan,True,None,5,8.0,2.2,3–5x/week,3,1,0
HSP20238953,Keto,True,Rare,3,5.7,1.3,1–2x/week,1,4,4
HSP20229834,Vegetarian,False,None,3,6.6,3.7,Daily,2,2,2
HSP20228744,Vegetarian,False,None,6,6.8,2.5,None,1,4,4
HSP20228749,Keto,False,Rare,8,6.9,2.5,3–5x/week,3,4,4
HSP20244119,Keto,True,Rare,6,5.5,3.0,1–2x/week,0,3,2
HSP20212588,Vegetarian,False,None,7,6.8,2.5,None,3,1,1
HSP20246804,Keto,True,None,4,5.3,3.3,None,1,3,1
HSP20247735,Mixed,False,None,6,7.3,2.2,None,3,2,2
HSP20241887,Vegan,False,None,7,7.7,2.2,1–2x/week,3,5,4
HSP20211993,Keto,True,None,6,5.6,2.0,3–5x/week,1,4,4
HSP20246559,Keto,True,None,9,4.4,2.8,1–2x/week,1,5,4
HSP20215073,Vegan,True,Rare,2,4.3,1.8,3–5x/week,1,5,4
HSP20224116,Vegan,False,Rare,6,4.0,2.4,1–2x/week,0,4,2
HSP20258350,Vegan,True,None,2,6.3,2.3,None,1,4,2
HSP20227912,Vegetarian,False,Rare,2,5.2,1.8,3–5x/week,3,4,2
HSP20225563,Vegetarian,False,None,6,7.1,2.2,3–5x/week,1,4,4
HSP20245092,Keto,False,None,9,6.9,2.0,3–5x/week,3,3,2
HSP20218260,Keto,True,Rare,8,6.7,3.3,1–2x/week,3,5,5
HSP20252604,Vegan,False,Rare,3,7.2,2.3,3–5x/week,0,1,1
HSP20219856,Keto,False,Regular,4,6.8,2.4,None,0,5,4
HSP20212528,Vegan,True,Rare,8,6.5,2.3,None,2,2,1
HSP20223724,Keto,False,None,2,6.3,2.6,1–2x/week,1,4,3
HSP20248956,Keto,True,None,8,5.3,1.9,Daily,3,2,2
HSP20244502,Keto,False,Rare,3,4.8,1.5,1–2x/week,1,2,1
HSP20241960,Keto,False,Regular,6,5.0,2.6,None,0,5,4
HSP20227209,Keto,False,None,7,5.4,2.8,None,3,4,4
HSP20217396,Keto,True,None,4,6.5,1.3,Daily,3,1,0
HSP20238454,Vegan,False,Rare,6,7.3,3.0,1–2x/week,1,1,0
HSP20237930,Keto,True,None,8,5.3,2.8,None,3,4,4
HSP20258973,Keto,False,None,2,5.5,2.6,None,3,2,0
HSP20224111,Vegetarian,False,None,4,5.0,1.4,None,1,4,4
HSP20234566,Mixed,False,Rare,5,6.0,2.4,1–2x/week,3,1,0
HSP20219883,Vegetarian,False,Rare,6,6.0,1.8,3–5x/week,1,4,2
HSP20216138,Vegan,True,None,5,6.0,2.7,None,1,3,2
HSP20211821,Vegetarian,True,None,8,6.4,2.6,Daily,0,4,2
HSP20258811,Mixed,True,Rare,9,5.7,3.2,1–2x/week,0,3,2
HSP20259701,Mixed,False,None,6,5.1,2.8,1–2x/week,0,2,0
HSP20221931,Vegetarian,False,Rare,3,7.9,2.8,Daily,3,5,5
HSP20252312,Keto,False,Regular,6,6.3,2.2,1–2x/week,0,3,1
HSP20222122,Vegetarian,True,None,6,7.7,1.6,1–2x/week,0,3,3
HSP20252113,Mixed,False,Rare,3,5.3,2.3,Daily,0,5,5
HSP20227615,Keto,False,None,2,8.0,2.7,1–2x/week,0,5,3
HSP20215033,Vegetarian,True,None,8,5.3,2.3,1–2x/week,1,5,4
HSP20251651,Mixed,False,Rare,7,5.8,2.1,None,0,4,4
HSP20252343,Vegan,True,Rare,9,7.7,1.7,3–5x/week,0,1,0
HSP20249565,Vegetarian,False,Regular,3,8.4,3.0,Daily,0,2,1
HSP20235272,Keto,False,None,2,7.8,2.2,1–2x/week,0,2,0
HSP20226147,Vegetarian,False,None,4,6.3,1.6,Daily,1,3,2
HSP20225351,Vegan,True,None,8,5.9,2.8,1–2x/week,2,3,1
HSP20243144,Keto,True,None,2,8.1,1.8,3–5x/week,1,3,3
HSP20238491,Vegan,True,None,2,6.1,2.4,None,1,2,1
HSP20232188,Vegan,True,None,6,4.8,2.9,Daily,3,1,1
HSP20218508,Keto,False,None,6,5.6,2.4,1–2x/week,3,3,3
HSP20252638,Vegan,True,None,5,6.0,2.0,Daily,2,5,5
HSP20219808,Keto,False,Rare,6,6.5,2.4,None,1,4,2
HSP20229288,Vegan,True,None,9,6.1,2.1,Daily,1,5,4
HSP20233170,Vegan,False,None,5,6.9,3.5,1–2x/week,1,4,4
HSP20232127,Keto,False,Rare,8,6.7,3.1,3–5x/week,0,2,1
HSP20227054,Vegan,False,Regular,4,4.8,2.6,1–2x/week,0,3,3
HSP20233584,Keto,True,None,8,5.2,1.6,1–2x/week,0,4,3
HSP20249900,Keto,True,Regular,8,5.6,3.2,1–2x/week,1,3,2
HSP20239666,Mixed,True,None,9,7.6,2.6,Daily,3,4,3
HSP20215905,Mixed,False,Regular,8,4.7,2.4,None,2,1,1
HSP20213200,Vegan,True,None,6,6.9,2.6,1–2x/week,0,3,3
HSP20232891,Mixed,True,None,4,4.3,2.0,Daily,0,1,1
HSP20213546,Vegetarian,False,None,9,6.4,2.8,Daily,1,5,3
HSP20235616,Vegetarian,False,Rare,5,3.9,2.4,None,2,5,5
HSP20254450,Mixed,False,None,5,6.7,3.0,Daily,2,2,0
HSP20234335,Keto,True,None,8,7.3,2.8,3–5x/week,3,3,3
HSP20239280,Mixed,False,Regular,7,5.5,1.4,1–2x/week,0,5,5
HSP20245114,Mixed,False,Rare,2,6.0,3.1,Daily,3,4,2
HSP20212512,Vegetarian,False,None,8,8.2,2.9,1–2x/week,0,3,2
HSP20245533,Mixed,True,None,7,7.0,2.7,1–2x/week,0,4,2
HSP20211058,Keto,False,None,8,5.8,2.4,3–5x/week,3,2,0
HSP20233143,Vegan,True,None,6,8.5,1.9,Daily,2,1,0
HSP20233647,Mixed,False,None,3,8.4,2.3,1–2x/week,3,5,4
HSP20248007,Keto,True,None,9,8.1,1.7,Daily,3,2,0
HSP20251158,Mixed,True,None,7,7.2,2.1,None,1,4,4
HSP20212232,Mixed,True,None,7,4.8,2.6,None,1,5,4
HSP20229938,Mixed,True,None,5,7.7,2.0,3–5x/week,1,3,2
HSP20217049,Vegan,False,None,2,4.7,2.4,3–5x/week,3,4,4
HSP20253426,Keto,False,Rare,5,6.4,2.8,3–5x/week,0,1,0
HSP20243088,Keto,False,None,3,7.6,2.5,Daily,0,5,4
HSP20216050,Vegetarian,False,Rare,4,8.7,2.6,3–5x/week,0,3,2
HSP20231653,Keto,True,Regular,2,6.1,1.5,None,2,5,5
HSP20234441,Vegan,False,None,3,6.2,2.3,None,2,4,3
HSP20222684,Vegan,False,Rare,5,7.7,2.8,None,3,1,0
HSP20237658,Keto,False,None,6,5.1,2.6,None,1,1,0
HSP20253532,Vegan,False,Rare,3,7.3,3.4,3–5x/week,0,2,0
HSP20223662,Mixed,True,None,2,7.6,3.0,1–2x/week,3,4,4
HSP20227755,Vegetarian,True,None,8,6.6,2.7,3–5x/week,0,4,2
HSP20213938,Vegetarian,True,None,4,8.0,1.7,3–5x/week,0,4,3
HSP20237745,Keto,True,Rare,5,6.1,2.0,3–5x/week,3,2,2
HSP20225371,Vegetarian,True,Rare,9,7.0,3.2,3–5x/week,2,1,0
HSP20222771,Vegetarian,False,None,9,5.8,1.1,None,1,1,0
HSP20241634,Vegetarian,True,None,6,6.0,3.0,1–2x/week,0,1,1
HSP20244644,Mixed,False,None,3,7.1,2.8,3–5x/week,2,5,4
HSP20228541,Vegetarian,False,None,8,6.2,1.7,1–2x/week,1,1,1
HSP20236000,Keto,True,None,9,7.1,2.0,1–2x/week,1,1,0
HSP20224652,Mixed,False,Rare,9,9.1,2.8,Daily,2,3,1
HSP20214164,Vegan,False,None,2,5.8,2.1,1–2x/week,1,1,0
HSP20246378,Vegetarian,False,None,3,6.4,2.4,3–5x/week,1,5,4
HSP20232137,Keto,False,Rare,8,7.8,2.6,1–2x/week,3,2,2
HSP20236753,Vegan,False,Regular,7,5.6,3.6,1–2x/week,0,2,0
HSP20257548,Keto,True,Rare,6,6.6,3.0,None,1,3,2
HSP20256425,Keto,True,None,8,5.8,2.7,Daily,0,3,3
HSP20212889,Keto,True,None,8,6.9,1.4,1–2x/week,3,1,0
HSP20233925,Vegetarian,True,Rare,3,8.9,3.3,Daily,2,1,0
HSP20255349,Vegetarian,True,Rare,2,6.0,1.8,None,1,1,0
HSP20212776,Mixed,True,None,4,6.9,2.6,None,2,3,3
HSP20258119,Mixed,False,Rare,9,6.9,2.6,3–5x/week,1,1,0
HSP20236139,Mixed,False,None,8,7.1,3.4,None,1,4,3
HSP20249379,Keto,False,Rare,6,7.2,1.9,3–5x/week,1,1,0
HSP20217311,Vegan,False,Rare,7,8.1,3.5,1–2x/week,0,1,0
HSP20254114,Vegetarian,True,Rare,8,10.3,1.8,3–5x/week,2,5,5
HSP20231727,Vegan,False,Rare,8,6.8,1.3,Daily,1,2,0
HSP20241027,Vegan,True,None,9,7.2,2.2,None,2,4,3
HSP20259821,Vegetarian,True,Regular,8,8.8,2.0,None,3,2,1
HSP20226967,Keto,True,None,6,4.5,2.2,Daily,1,4,3
HSP20242146,Vegetarian,True,None,3,4.1,3.0,3–5x/week,2,1,1
HSP20236143,Vegan,True,Rare,3,4.0,2.5,Daily,1,1,0
HSP20215920,Keto,True,None,2,4.0,2.3,3–5x/week,3,5,5
HSP20256067,Vegan,True,None,6,8.5,2.7,None,1,2,0
HSP20246344,Vegan,False,None,6,5.5,2.5,None,3,3,1
HSP20245844,Vegan,True,None,7,6.5,2.8,Daily,0,3,1
HSP20253085,Keto,True,None,3,4.9,2.9,Daily,3,3,1
HSP20227888,Keto,True,None,8,3.3,2.1,None,1,2,1
HSP20243851,Keto,False,Rare,9,5.9,2.9,Daily,0,3,1
HSP20255930,Keto,True,Rare,5,6.5,1.7,Daily,3,1,0
HSP20249977,Vegan,True,Rare,3,5.3,2.6,1–2x/week,1,1,0
HSP20215978,Vegan,False,None,5,6.4,2.2,1–2x/week,1,5,3
HSP20234443,Keto,True,Rare,4,5.9,2.9,1–2x/week,3,3,2
HSP20246279,Vegetarian,True,Rare,4,5.9,2.4,3–5x/week,1,2,1
HSP20248238,Keto,False,Rare,4,9.1,1.6,3–5x/week,1,4,3
HSP20244501,Mixed,True,None,7,4.3,3.0,1–2x/week,0,2,2
HSP20258752,Mixed,True,None,6,5.7,2.3,None,0,4,2
HSP20222389,Mixed,True,Rare,4,5.6,2.3,3–5x/week,2,2,2
HSP20239445,Vegan,False,Rare,4,8.4,3.0,None,3,3,2
HSP20256491,Vegetarian,False,Rare,7,7.5,1.7,1–2x/week,3,1,0
HSP20214848,Vegan,False,None,3,5.1,0.8,1–2x/week,1,1,1
HSP20234680,Vegetarian,False,Rare,5,5.5,3.1,1–2x/week,1,2,1
HSP20223414,Mixed,True,None,9,7.1,2.4,Daily,1,2,2
HSP20211757,Keto,True,Regular,8,6.5,2.1,3–5x/week,3,1,0
HSP20228784,Vegetarian,True,None,2,6.7,3.0,1–2x/week,3,1,0
HSP20252193,Vegan,True,Rare,6,4.6,2.7,1–2x/week,2,1,0
HSP20247790,Vegetarian,False,Rare,6,7.6,2.3,None,1,4,3
HSP20254185,Vegetarian,False,None,7,7.3,4.2,1–2x/week,3,4,3
HSP20249099,Mixed,False,None,2,6.4,2.7,Daily,1,1,1
HSP20244997,Mixed,False,None,7,5.6,2.6,Daily,2,4,2
HSP20221090,Vegetarian,False,None,6,7.1,2.6,3–5x/week,3,5,5
HSP20217965,Vegetarian,True,Regular,9,5.3,2.6,3–5x/week,0,3,1
HSP20223881,Keto,True,None,7,8.3,2.8,3–5x/week,0,3,1
HSP20258611,Mixed,True,Rare,8,7.7,2.4,3–5x/week,1,2,2
HSP20215082,Mixed,False,Rare,3,7.4,2.7,1–2x/week,0,2,0
HSP20218478,Vegetarian,True,None,6,5.4,2.7,3–5x/week,1,3,3
HSP20228612,Vegetarian,True,None,9,5.3,2.1,Daily,1,2,2
HSP20256198,Vegan,False,None,4,6.7,2.7,3–5x/week,3,4,2
HSP20249270,Keto,True,Rare,4,5.1,3.1,1–2x/week,1,4,2
HSP20249976,Keto,True,None,6,7.2,2.1,None,3,5,5
HSP20243607,Keto,True,Regular,5,4.7,2.4,3–5x/week,2,4,3
HSP20248373,Keto,False,None,7,6.0,2.6,Daily,3,5,4
HSP20235050,Keto,True,Rare,5,6.1,1.3,None,3,2,2
HSP20239540,Keto,True,None,2,6.0,2.3,1–2x/week,3,1,0
HSP20244919,Keto,True,None,8,7.3,2.1,3–5x/week,2,3,1
HSP20238206,Keto,False,Regular,7,8.5,1.4,Daily,3,3,2
HSP20215681,Vegan,False,None,4,8.1,2.4,3–5x/week,3,4,3
HSP20225451,Vegetarian,True,None,9,7.5,2.5,3–5x/week,3,5,5
HSP20236238,Vegan,True,None,8,7.9,2.3,Daily,2,3,2
HSP20252320,Vegetarian,True,None,6,5.2,3.4,3–5x/week,2,1,0
HSP20223471,Keto,False,None,5,6.4,2.6,1–2x/week,3,5,4
HSP20227275,Vegetarian,True,Rare,9,8.0,1.9,None,0,4,4
HSP20224505,Mixed,False,None,6,7.2,2.1,3–5x/week,1,2,0
HSP20217797,Keto,True,None,7,6.3,2.5,None,1,1,0
HSP20246421,Vegan,True,None,2,4.7,2.0,Daily,0,5,4
HSP20258633,Keto,False,None,6,8.1,3.0,3–5x/week,1,5,4
HSP20242020,Vegetarian,True,None,6,6.4,2.6,None,2,3,3
HSP20227883,Keto,True,None,8,6.1,3.3,Daily,2,5,5
HSP20241320,Vegan,False,Rare,5,6.3,2.6,3–5x/week,0,3,1
HSP20257232,Vegetarian,True,Rare,8,7.9,2.0,None,1,5,4
HSP20241096,Vegan,True,Rare,2,8.4,1.6,1–2x/week,0,3,1
HSP20235892,Mixed,False,None,2,8.5,2.3,Daily,1,3,3
HSP20247865,Vegetarian,True,None,9,6.2,1.4,Daily,3,3,1
HSP20259947,Keto,False,None,7,6.0,1.9,None,2,1,0
HSP20254613,Keto,False,Regular,4,5.8,2.4,1–2x/week,0,5,3
HSP20244595,Mixed,False,Rare,8,7.6,2.6,3–5x/week,0,5,4
HSP20238140,Mixed,True,Rare,5,6.9,1.8,1–2x/week,3,1,0
HSP20241475,Vegan,False,Rare,6,5.4,3.6,1–2x/week,3,4,3
HSP20246507,Vegan,True,None,9,5.6,3.5,1–2x/week,0,4,3
HSP20243704,Mixed,True,Rare,3,6.2,2.5,3–5x/week,0,5,5
HSP20243091,Keto,True,None,4,7.8,3.3,Daily,2,3,1
HSP20259751,Vegan,False,Rare,2,6.4,2.3,Daily,1,2,2
HSP20217455,Keto,True,None,9,6.4,2.7,None,3,5,3
HSP20251444,Vegetarian,True,Rare,5,7.6,2.5,Daily,0,1,0
HSP20218022,Keto,False,Rare,9,7.2,3.5,None,2,4,3
HSP20228564,Vegan,False,None,9,7.0,2.7,Daily,3,3,2
HSP20221823,Mixed,True,Regular,2,4.7,0.9,Daily,1,4,2
HSP20237211,Vegetarian,False,None,7,7.0,2.4,Daily,0,5,3
HSP20234467,Vegan,False,None,8,5.9,2.6,1–2x/week,3,5,5
HSP20246355,Vegan,False,None,2,6.4,3.2,1–2x/week,0,4,3
HSP20237211,Vegetarian,True,None,8,6.6,2.1,None,1,1,0
HSP20237906,Vegetarian,False,Rare,3,7.7,2.4,1–2x/week,3,1,0
HSP20232341,Mixed,True,Rare,9,7.1,2.2,None,3,4,2
HSP20241317,Vegetarian,True,None,4,5.7,2.6,1–2x/week,3,2,0
HSP20251853,Mixed,False,None,5,6.5,2.8,1–2x/week,2,5,3
HSP20234673,Keto,False,Rare,9,6.2,1.4,None,1,3,3
HSP20211659,Keto,False,None,8,6.0,3.0,1–2x/week,1,3,2
HSP20215051,Keto,True,Rare,9,6.1,2.4,1–2x/week,0,2,0
HSP20221333,Mixed,True,None,7,7.7,2.1,None,2,4,2
HSP20253496,Vegetarian,False,None,3,4.6,2.4,Daily,1,5,4
HSP20223068,Vegan,False,None,7,5.9,1.9,1–2x/week,0,1,0
HSP20242874,Vegetarian,False,Rare,2,6.3,2.8,None,1,2,0
HSP20254571,Vegan,True,None,9,6.5,2.7,None,2,4,2
HSP20245198,Vegetarian,True,None,9,8.7,2.3,Daily,3,5,5
HSP20233749,Mixed,True,Rare,6,6.8,2.2,3–5x/week,2,4,2
HSP20252876,Vegan,False,None,9,5.5,2.1,3–5x/week,0,2,1
HSP20226096,Keto,False,Rare,3,5.9,2.7,Daily,1,2,0
HSP20211420,Vegan,False,None,9,9.3,2.1,1–2x/week,0,3,1
HSP20237149,Keto,False,None,4,6.0,2.5,1–2x/week,3,2,2
HSP20244249,Keto,True,Rare,4,7.0,2.7,None,2,5,4
HSP20214978,Vegan,True,Regular,5,8.0,1.0,1–2x/week,1,3,3
HSP20215941,Keto,False,None,7,3.6,2.2,3–5x/week,1,5,4
HSP20252983,Keto,True,Regular,5,7.8,1.6,3–5x/week,2,4,3
HSP20251672,Vegan,False,None,3,2.9,2.8,3–5x/week,2,5,4
HSP20239728,Vegetarian,False,None,3,6.8,1.8,Daily,0,4,4
HSP20247071,Vegan,True,Regular,4,5.3,1.9,None,0,4,2
HSP20219289,Vegetarian,False,Rare,3,6.6,2.1,1–2x/week,2,3,1
HSP20231207,Keto,False,Rare,2,7.1,0.8,3–5x/week,1,4,3
HSP20249031,Vegan,True,Rare,4,5.5,1.8,1–2x/week,3,3,1
HSP20218102,Mixed,True,Rare,2,6.2,2.2,1–2x/week,3,3,1
HSP20238532,Vegetarian,False,Rare,4,7.5,1.4,None,1,4,3
HSP20228135,Keto,False,None,8,6.6,2.8,Daily,3,4,4
HSP20229548,Vegetarian,True,Regular,8,8.7,2.2,1–2x/week,2,2,2
HSP20239817,Mixed,True,None,5,6.9,1.4,3–5x/week,0,1,1
HSP20248616,Keto,False,None,8,3.6,3.0,Daily,2,5,3
HSP20245397,Vegetarian,True,None,9,6.5,3.2,None,2,2,0
HSP20235022,Vegan,False,Rare,3,4.9,2.8,3–5x/week,2,1,0
HSP20215569,Mixed,True,None,7,8.7,2.8,None,3,3,2
HSP20244995,Vegan,False,Rare,4,6.8,2.5,Daily,0,1,0
HSP20247209,Keto,True,None,4,4.6,3.3,Daily,1,1,0
HSP20231470,Vegan,False,Rare,7,5.8,2.8,3–5x/week,1,2,1
HSP20246325,Keto,False,Rare,6,4.6,1.8,None,2,5,5
HSP20228988,Vegetarian,True,Regular,7,8.2,2.3,None,1,3,2
HSP20226813,Vegetarian,True,Rare,6,8.2,2.5,3–5x/week,2,5,4
HSP20236576,Keto,True,None,5,4.3,3.0,None,2,4,4
HSP20235526,Mixed,True,None,7,5.8,2.9,3–5x/week,3,1,0
HSP20251166,Keto,False,None,5,6.5,1.6,1–2x/week,2,1,1
HSP20254130,Vegan,False,None,9,6.7,3.8,3–5x/week,1,1,1
HSP20214954,Vegetarian,False,None,7,7.1,2.5,3–5x/week,1,4,3
HSP20249004,Keto,False,None,5,7.8,2.6,None,2,5,5
HSP20254937,Vegetarian,True,Rare,9,6.8,1.8,1–2x/week,0,3,3
HSP20249041,Vegetarian,False,None,3,6.8,3.1,3–5x/week,1,4,3
HSP20241282,Keto,True,Rare,2,5.5,3.4,Daily,0,5,4
HSP20215820,Vegetarian,True,Rare,8,6.4,2.0,3–5x/week,3,3,3
HSP20227625,Vegan,False,Rare,8,7.7,2.3,None,1,4,2
HSP20226016,Mixed,True,Regular,3,7.4,2.3,3–5x/week,2,2,0
HSP20257046,Mixed,True,None,2,6.4,2.8,1–2x/week,1,1,1
HSP20249698,Keto,False,Regular,7,6.8,1.3,None,2,2,2
HSP20237971,Vegan,True,None,4,5.2,3.1,None,3,4,3
HSP20256419,Vegetarian,True,None,6,6.3,2.2,3–5x/week,1,1,1
HSP20238434,Keto,False,Rare,5,4.9,1.9,1–2x/week,1,2,2
HSP20236023,Vegan,True,None,7,4.1,2.4,1–2x/week,1,2,0
HSP20234777,Mixed,True,None,4,5.8,1.9,None,0,5,5
HSP20214155,Vegetarian,True,Rare,6,6.4,2.7,3–5x/week,1,2,0
